City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Hobyo,SO,2022-01-25 01:28:51,5.3505,48.5268,75.72,71,19,22.28
1,Albany,US,2022-01-25 01:28:02,42.6001,-73.9662,27.09,70,100,2.59
2,Wanning,CN,2022-01-25 01:28:51,18.8003,110.3967,74.21,84,29,4.07
3,Puerto Ayora,EC,2022-01-25 01:28:51,-0.7393,-90.3518,73.67,91,91,9.51
4,Busselton,AU,2022-01-25 01:28:52,-33.65,115.3333,72.09,57,38,14.85
5,Faya,SA,2022-01-25 01:28:52,18.3851,42.4509,48.31,54,0,0.43
6,Vaini,TO,2022-01-25 01:28:52,-21.2,-175.2,80.42,77,17,14.63
7,Arraial Do Cabo,BR,2022-01-25 01:28:52,-22.9661,-42.0278,75.9,88,32,22.01
8,Altoona,US,2022-01-25 01:28:53,40.5187,-78.3947,30.45,92,100,3.24
9,San Ignacio,BZ,2022-01-25 01:28:53,17.1561,-89.0714,73.54,94,0,4.61
10,Ipora,BR,2022-01-25 01:28:53,-16.4419,-51.1178,72.45,86,17,2.17
11,Porbandar,IN,2022-01-25 01:28:53,21.6422,69.6093,60.03,44,0,8.05
12,Barrow,US,2022-01-25 01:28:54,71.2906,-156.7887,12.22,79,100,17.27
13,Victoria,HK,2022-01-25 01:24:00,22.2855,114.1577,68.18,90,99,1.99
14,Los Andes,CL,2022-01-25 01:28:54,-32.8337,-70.5983,73.58,41,0,2.24
15,Punta Arenas,CL,2022-01-25 01:28:20,-53.15,-70.9167,46.51,76,20,35.68
16,Ballina,AU,2022-01-25 01:28:54,-28.8667,153.5667,82.44,71,40,11.5
17,Pisco,PE,2022-01-25 01:25:00,-13.7,-76.2167,69.85,78,20,20.71
18,Turukhansk,RU,2022-01-25 01:28:55,65.8167,87.9833,-19.34,99,80,4.56
19,Hermanus,ZA,2022-01-25 01:28:55,-34.4187,19.2345,68.81,93,24,9.4
20,Saint George,US,2022-01-25 01:24:03,37.1041,-113.5841,55.99,31,0,1.01
21,Grenfell,AU,2022-01-25 01:28:55,-33.9,148.1667,73.33,62,100,2.95
22,Torbay,CA,2022-01-25 01:28:55,47.6666,-52.7314,32.76,96,100,35.68
23,Roma,US,2022-01-25 01:28:22,43.2128,-75.4557,20.66,88,100,6.91
24,Ushuaia,AR,2022-01-25 01:28:56,-54.8,-68.3,42.46,87,75,26.46
25,Kapaa,US,2022-01-25 01:28:56,22.0752,-159.319,78.78,64,40,1.99
26,Olafsvik,IS,2022-01-25 01:28:56,64.8945,-23.7142,39.27,97,100,37.36
27,Timberlake,US,2022-01-25 01:28:28,37.3207,-79.2575,43.72,52,0,5.75
28,Bethel,US,2022-01-25 01:28:57,41.3712,-73.414,31.01,77,100,4.61
29,North Augusta,US,2022-01-25 01:24:02,33.5018,-81.9651,48.15,64,0,0.0
30,Atuona,PF,2022-01-25 01:28:57,-9.8,-139.0333,78.78,73,25,17.65
31,Ban Nahin,LA,2022-01-25 01:28:57,18.2418,104.2122,71.01,62,43,2.89
32,Lasa,IT,2022-01-25 01:28:58,46.6166,10.7002,38.28,68,1,5.68
33,Prince Rupert,CA,2022-01-25 01:28:25,54.3161,-130.3201,42.49,91,40,0.0
34,Fairbanks,US,2022-01-25 01:25:35,64.8378,-147.7164,35.94,80,75,4.61
35,Shakiso,ET,2022-01-25 01:28:58,5.75,38.9167,56.32,57,100,4.23
36,Barra Patuca,HN,2022-01-25 01:28:58,15.8,-84.2833,75.58,83,1,7.9
37,Mataura,NZ,2022-01-25 01:28:59,-46.1927,168.8643,60.48,48,100,4.81
38,Tiksi,RU,2022-01-25 01:28:59,71.6872,128.8694,-8.18,97,100,8.46
39,Pangnirtung,CA,2022-01-25 01:28:59,66.1451,-65.7125,-0.49,100,100,7.47
40,Lagoa,PT,2022-01-25 01:28:59,39.05,-27.9833,58.59,68,100,9.44
41,Thompson,CA,2022-01-25 01:29:00,55.7435,-97.8558,-18.24,69,0,10.36
42,Lampazos De Naranjo,MX,2022-01-25 01:29:00,27.0167,-100.5167,57.52,57,100,4.18
