City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Lensk,RU,8.58,overcast clouds,60.7253,114.9278,ТинОрС
3,Jamestown,US,21.09,mist,42.097,-79.2353,Hampton Inn & Suites Jamestown
10,Poronaysk,RU,8.06,overcast clouds,49.2167,143.1167,Avtovokzal Khostel Stolovaya
26,Novobelokatay,RU,23.32,overcast clouds,55.7062,58.9549,"Gostinitsa ""Tsentral'naya"""
32,Hasaki,JP,28.8,overcast clouds,35.7333,140.8333,Hotel Sunrise Choshi
34,Goderich,CA,14.92,overcast clouds,43.7501,-81.7165,Harmony Inn
35,Usvyaty,RU,4.1,broken clouds,55.7456,30.7533,Gostinitsa Usvyacha
37,Albany,US,27.68,overcast clouds,42.6001,-73.9662,
44,Kurilsk,RU,22.98,light snow,45.2333,147.8833,Hotel Ostrov
52,Satis,RU,21.58,light snow,54.9229,43.2298,"Guest house ""Spiridon"""
64,Abalak,RU,23.76,overcast clouds,58.1286,68.5944,Туристический комплекс Абалак
65,Ilulissat,GL,15.82,broken clouds,69.2167,-51.1,Hotel Arctic
74,Terney,RU,3.61,clear sky,45.0503,136.6092,"Hotel ""Ternay"""
83,Gaogou,CN,29.79,broken clouds,34.0175,119.1886,GreenTree Inn JiangSu Huaian Gaogou Town First Street Shell Hotel
88,Druzhinino,RU,25.84,overcast clouds,56.7895,59.5143,Дружинино Отель
92,Qaqortoq,GL,10.9,overcast clouds,60.7167,-46.0333,Siniffik Inn
94,Ossora,RU,10.87,overcast clouds,59.2353,163.0719,
97,Thunder Bay,CA,8.56,overcast clouds,48.4001,-89.3168,Victoria Inn Hotel and Convention Centre
103,Shcherbinka,RU,24.8,clear sky,55.4997,37.5597,Hotel Eklips
109,Kuminskiy,RU,26.55,light snow,58.6667,66.5667,
111,Tasiilaq,GL,17.76,overcast clouds,65.6145,-37.6368,The Red House
126,Baykit,RU,6.94,overcast clouds,61.67,96.37,
139,North Platte,US,32.25,clear sky,41.1239,-100.7654,"Holiday Inn Express & Suites North Platte, an IHG Hotel"
140,Broome,US,23.0,light snow,42.2506,-75.833,Chenango Valley State Park
145,Katangli,RU,4.75,light snow,51.7102,143.2326,
152,Agirish,RU,4.53,broken clouds,61.9247,63.0231,
153,Shache,CN,27.09,few clouds,38.4167,77.2406,Delong Hotel
154,Pangody,RU,9.34,light snow,65.85,74.4859,Elizaveta Shevchuk's House
160,Wakkanai,JP,24.51,light snow,45.4094,141.6739,Hyōsetsu-sō
171,Severo-Kurilsk,RU,27.09,overcast clouds,50.6789,156.125,Kak Doma
174,Nurmijarvi,FI,27.3,snow,60.4641,24.8073,Oy Agrocenter Ltd
175,Nyzhni Sirohozy,UA,27.55,overcast clouds,46.8484,34.3804,"КАФЕ & ГОСТИНИЦА ""Акуна Матата"""
176,Nuuk,GL,7.41,broken clouds,64.1835,-51.7216,Vandrehuset
179,Nikolskoye,RU,19.29,broken clouds,59.7035,30.7861,Tourist House - Sablino
182,Palana,RU,9.21,overcast clouds,59.1167,159.9667,Chikago
185,Bellmead,US,28.24,overcast clouds,31.594,-97.1089,Hampton Inn Waco
192,Grindavik,IS,28.35,broken clouds,63.8424,-22.4338,Northern Light Inn & Max's Restaurant
193,Upernavik,GL,4.03,overcast clouds,72.7868,-56.1549,Gina's Guesthouse - Upernavik
215,Petropavlovsk-Kamchatskiy,RU,25.39,broken clouds,53.0452,158.6483,The Hotel Petropavlovsky
222,Bay City,US,15.91,clear sky,43.5945,-83.8889,DoubleTree by Hilton Hotel Bay City - Riverfront
229,Longyearbyen,SJ,17.44,clear sky,78.2186,15.6401,"Radisson Blu Polar Hotel, Spitsbergen"
241,Grande Prairie,CA,5.18,broken clouds,55.1667,-118.8027,"Holiday Inn Express Grande Prairie, an IHG Hotel"
263,Yar-Sale,RU,6.1,light snow,66.8333,70.8333,Yalemd
265,Jiayuguan,CN,15.4,overcast clouds,39.8167,98.3,Jiugang Hotel - Jiayuguan
276,Maniitsoq,GL,6.55,light snow,65.4167,-52.9,Hotel Heilmann Lyberth
278,Hami,CN,23.99,broken clouds,42.8,93.45,Laoyutang Resort
280,Kijang,KR,28.13,clear sky,35.2442,129.2139,Samyang Beach Villa
291,Olafsvik,IS,28.71,broken clouds,64.8945,-23.7142,Hotel Olafsvik
305,Ostrovnoy,RU,3.85,overcast clouds,68.0531,39.5131,
307,Hofn,IS,32.02,few clouds,64.2539,-15.2082,Hótel Höfn
318,Turukhansk,RU,12.11,overcast clouds,65.8167,87.9833,"ООО ""Туруханская пушнина"""
328,Bolu,TR,14.04,broken clouds,40.6667,31.5833,Sefa Green Hotel
333,Kharp,RU,9.48,overcast clouds,66.8014,65.8081,"Hotel ""Sob"""
334,Mehamn,NO,13.95,clear sky,71.0357,27.8492,Mehamn Arctic Hotel AS
343,Voskresenskoye,RU,19.35,snow,56.8381,45.4317,AOM OTABIXA ВОСКРЕСЕНСКОЕ ОДМОСКОВЬЕ
348,Vestmannaeyjar,IS,29.39,few clouds,63.4427,-20.2734,Glamping & Camping
355,Clarksburg,US,32.11,mist,39.2807,-80.3445,Greenbrier Motel & Restaurant
363,Komsomolets,KZ,21.27,overcast clouds,53.7453,62.0708,Avtostoyanka
379,Brownwood,US,26.29,scattered clouds,31.7093,-98.9912,La Quinta Inn & Suites by Wyndham Brownwood
382,Moba,CN,26.11,overcast clouds,33.2288,105.0179,
388,Pyaozerskiy,RU,10.87,overcast clouds,65.8333,31.1667,Taratuga
394,Okmulgee,US,24.78,scattered clouds,35.6234,-95.9605,"Holiday Inn Express & Suites Okmulgee, an IHG Hotel"
399,Sokolka,PL,32.67,overcast clouds,53.4072,23.5023,Restauracja i Pokoje Gościnne Verde
400,Lamar,US,26.98,overcast clouds,33.6668,-95.5836,Kings Inn Paris TX
401,Hamilton,US,25.41,mist,39.1834,-84.5333,Six Acres Bed & Breakfast
420,Shitanjing,CN,15.1,scattered clouds,39.2342,106.3439,
422,Stokmarknes,NO,24.78,broken clouds,68.5646,14.9108,Vesterålen Kysthotell
